hillary clinton.donald trump,"[0.2810368716691778, 0.5039599931869968]"
healthcare workers.covid-19,"[-0.04445635483216629, 0.6933928475793399]"
adama barrow.yahya jammeh,"[0.5654263720629515, -0.028988551782622433]"
none.barack obama,"[0.5702659485122009, nan]"
ted cruz.donald trump,"[0.6238776945276413, -0.016645872314630737]"
